0.00 2.29	LENORE: 	[Disgusting].
1105.39 1108.13	        	... So he's really self taught,
1108.13 1108.33	        	and,
1108.33 1109.23	        	(H) you know,
1109.23 1109.83	        	.. kind of,
1109.83 1111.02	        	(H) one of the things he did was he,
1111.02 1113.27	        	.. (TSK) kind of took up the guitar at twelve?
1113.27 1114.62	        	.. Now he's thirty-fi=ve,
1114.62 1117.07	        	you ought to hear that guy= on the guita=r.
1117.07 1118.69	        	He's absolutely am=azing.
1118.69 1120.29	        	(H) The guy with the bear=d,
1120.29 1121.29	        	(H) was his good buddy.
1121.29 1122.69	        	They both work for the phone company.
1122.69 1124.59	        	(H) The guy with the beard must be about,
1124.59 1125.44	        	.. six four,
1125.44 1126.39	        	six five,
1126.39 1127.72	        	... and uh,
1127.72 1129.67	        	he got his first degree in fire science.
1129.67 1130.37	        	.. His parents were --
1130.37 1131.77	        	His mother was forty-eight when he was born.
1131.77 1132.57	        	His father was fifty-one.
1132.57 1134.07	        	They died when he was thirteen,
1134.07 1135.22	        	.. (H) He put himsel- --
1135.22 1136.77	        	He k- graduated from high school early,
1136.77 1138.77	        	went through fire science .. major at UCLA.
1138.77 1139.27	        	I forgot,
1139.27 1140.67	        	the people from the West Side do that a lot.
1140.67 1142.77	        	.. They go through this stupid fire science major out at UCLA.
1142.77 1143.37	        	Become firemen.
1143.37 1144.77	        	(H)= And now he- --
1144.77 1145.12	        	%_You know,
1145.12 1146.22	        	and now he works for the phone company,
1146.22 1146.67	        	and he's --
1146.67 1147.47	        	.. he's uh,
1147.47 1148.12	        	.. putting himself,
1148.12 1149.79	        	[He's] going to be a [2microwave engineer2].
1148.12 1148.34	LENORE: 	[(SWALLOW)]
1148.84 1149.92	        	                     [2(Hx)=2]
1149.92 1151.22	ALINA:  	... And he's going to CSUN,
1151.22 1152.77	        	because that's the only place you can go at night.
1152.77 1153.27	        	... (H)
1153.27 1153.77	LENORE: 	Wow.
1153.77 1154.71	ALINA:  	.. Brilliant.
1154.71 1156.06	        	He's [been in] there since nineteen eighty,
1154.87 1155.11	LENORE: 	     [Hunh].
1156.06 1156.46	ALINA:  	I'm sitting there,
1156.46 1156.71	        	.. you know,
1156.71 1157.91	        	he's [like thirty]-five now,
1156.91 1157.26	LENORE: 	     [@@@]
1157.91 1159.56	ALINA:  	... (H) talking to him,
1159.56 1160.86	        	.. he had a big old hicky here,
1160.86 1161.86	        	he told me he was going to another party,
1161.86 1162.06	        	I said,
1162.06 1162.21	        	<VOX oh,
1162.21 1163.21	        	you want a matching set VOX>?
1163.21 1164.41	LENORE: 	@= [@Oh @Go=d @@@].
1163.36 1166.04	ALINA:  	   [@@@@@@@@@
1166.04 1167.76	        	(H) <@ The] Black guy laughed @>.
1167.76 1168.21	        	[2<X He goes- X>,
1167.98 1168.63	LENORE: 	[2(H) @@2]
1168.21 1168.48	ALINA:  	<VOX oh,
1168.48 1169.53	        	you2] noticed VOX>.
1169.23 1169.83	LENORE: 	(COUGH) [3(COUGH)3]
1169.53 1170.03	ALINA:  	        [3I3] said,
1170.03 1170.33	        	yeah,
1170.33 1171.93	        	turtlenecks don't hide everything.
1171.93 1173.08	        	.. @ @
1173.08 1176.52	        	... (H) But the Black guy's father works with the um,
1176.52 1177.72	        	(Hx) .. CIA.
1177.72 1178.37	LENORE: 	.. <@ Oh,
1178.37 1179.46	        	you['re kidding @>.
1178.54 1178.86	ALINA:  	[So,
1178.86 1179.87	        	(H)= no].
1179.46 1179.87	LENORE: 	(H)=]
1179.87 1180.32	ALINA:  	He set up,
1180.32 1182.39	        	[so the Black guy set up all the phones during the Olympics],
1180.35 1182.35	LENORE: 	[(H)= (Hx)=]
1182.39 1184.39	ALINA:  	and he was the best like guy out there at the Olympics,
1184.39 1184.54	        	or,
1184.54 1184.74	        	you know,
1184.74 1186.28	        	he had g- <VOX special coverage,
1186.28 1187.27	        	and special protection VOX>,
1187.27 1187.79	        	and everything.
1187.79 1188.43	LENORE: 	[Wow=].
1187.88 1190.01	ALINA:  	[But they were] so much fun to talk to.
1190.01 1190.81	        	.. I had a ball.
1190.81 1192.21	        	... I ended up,
1192.21 1192.56	        	.. you know,
1192.56 1192.86	        	and % --
1192.86 1193.66	        	.. all the paddlers were going,
1193.66 1193.91	        	<VOX<X yeah X>,
1193.91 1194.26	        	~Alina,
1194.26 1195.51	        	talking to all the boy=s.
1195.51 1196.61	        	Don't they know you're marrie=d VOX>?
1196.61 1197.96	        	(H) .. <X Are you X> --
1197.96 1198.31	        	they said,
1198.31 1198.76	        	@@
1198.76 1199.91	        	.. like I told !DR,
1199.91 1201.16	        	.. <VOX just cause I'm married,
1201.16 1202.21	        	I ain't dead VOX>.
1202.21 1203.41	LENORE: 	@@[@@@@]
1202.41 1207.52	ALINA:  	  [@@@]@@@@@@@@@@@ (H) @@
1207.52 1210.17	        	... (H) <@ I still like to go to parties.
1210.17 1211.62	        	.. (H) I'm sorry @>.
1211.62 1212.35	LENORE: 	@@
1212.35 1213.05	ALINA:  	(H) [@@@]
1212.40 1213.20	LENORE: 	    [@@]
1213.20 1214.32	        	@@ [2@Shit2].
1213.71 1215.52	ALINA:  	   [2@@@2]@@
1215.52 1216.52	        	(H) <@ And he goes @>,
1216.52 1216.77	LENORE: 	    [@]
1216.54 1217.79	ALINA:  	    [(H)] So you're married.
1217.79 1218.34	        	(TSK) (TSK)
1218.34 1218.99	        	And I said,
1218.99 1219.74	        	yeah I'm married.
1219.74 1220.09	        	And I said,
1220.09 1220.79	        	so is he.
1220.79 1221.94	        	.. [He's married too].
1220.86 1221.71	LENORE: 	   [@@@]
1221.94 1222.74	ALINA:  	<@ And he goes @>,
1222.74 1223.49	        	... oh.
1223.49 1224.94	        	... Well that makes it convenient then,
1224.94 1225.19	        	uh,
1225.19 1226.39	        	(H) <VOX I always like it when,
1226.39 1228.84	        	(H) both .. of you .. are married to each o[ther] VOX>.
1228.54 1229.28	LENORE: 	                                           [@]@[2@2]
1228.84 1229.61	ALINA:  	                                               [2<@ And I2] said,
1229.61 1230.81	        	.. so do I @>.
1230.81 1231.26	LENORE: 	(H[=])
1230.81 1231.28	ALINA:  	  [@]@
1231.28 1232.13	LENORE: 	.. XX [2~Hector2].
1231.70 1234.34	ALINA:  	      [2(H)2] (DRINK)
1234.04 1234.80	LENORE: 	... % Oh God.
1234.80 1236.05	ALINA:  	.. (TSK) Poor little ~Hector.
1236.05 1237.70	        	.. He's been having a hell of a time.
1237.70 1238.55	        	.. Pulling his hair out.
1238.55 1240.35	        	(H) He's been grumpy for three months.
1240.35 1241.15	LENORE: 	... Well,
1241.15 1241.78	        	it's o[ver now,
1241.47 1242.64	ALINA:  	      [(H)] (SIGH)
1241.78 1241.95	LENORE: 	isn't it]?
1242.64 1243.04	ALINA:  	Yeah.
1243.04 1244.94	        	.. He was actually talkative tonight.
1244.94 1246.04	        	when I called him on the phone?
1246.04 1247.74	        	.. (H) He tal=ked to me.
1247.74 1249.24	        	for like fifteen minutes tonight.
1249.24 1252.19	        	(H) Do you know how long it's been since he's been able to k- talk to me on [the phone]?
1251.81 1252.82	LENORE: 	                                                                            [Who does he work] with [2now2].
1252.56 1252.86	ALINA:  	                        [2(H)2]
1252.86 1253.64	        	... [3!Kevin3].
1253.25 1253.97	LENORE: 	    [3!Rosen3]blu[4m4].
1253.71 1253.91	ALINA:  	                 [4Ke-4]
1253.97 1254.37	        	.. No.
1254.37 1254.72	        	.. Uh well,
1254.72 1254.95	        	[yeah.
1254.78 1254.98	LENORE: 	[(H)=]
1254.98 1255.93	ALINA:  	!Rosenblum's down the] hall,
1255.93 1256.58	        	(H) and <X then it's X> --
1256.58 1257.58	        	!Kevin's his assistant,
1257.58 1257.98	LENORE: 	(SWALLOW)
1257.98 1259.63	ALINA:  	and then .. they don't have the third editor.
1259.63 1261.90	        	... (TSK) But it's so ni=ce.
1261.90 1262.70	LENORE: 	.. Him and !Ke[vin].
1262.30 1263.63	ALINA:  	              [(H)]=[2=2]
1262.96 1263.58	LENORE: 	                    [2Essentially2].
1263.63 1264.23	ALINA:  	.. Yeah.
1264.23 1264.98	        	.. <% Yeah %>.
1264.98 1265.98	        	.. !Kevin's <X his X> assistant.
1265.98 1267.33	        	.. But they're trying to get !Kevin to --
1267.33 1268.83	        	!Kevin's been in production before.
1268.83 1271.12	        	He's ha=s actually been associate produ[cer before].
1270.53 1272.22	LENORE: 	                                       [And they want !Ke]vin to take [2.. ~H=ector's place2]?
1271.42 1273.15	ALINA:  	                                                                      [2(H)2] That's a possibility,
1273.15 1274.20	        	but ~Jake will block it.
1274.20 1276.10	        	.. Otherwise known as [<VOX N=ixon= VOX>].
1275.20 1276.20	LENORE: 	                      [Who's gonna take ~Hector's] --
1276.20 1276.70	        	.. @@
1276.70 1277.74	ALINA:  	@@
1276.70 1277.44	LENORE: 	<X Who's gonna X> @@ --
1277.44 1277.94	LENORE: 	Nix,
1277.94 1278.34	        	.. nix it.
1278.34 1278.69	        	[Nixon.
1278.36 1279.61	ALINA:  	[(H) <% Nixon=] %>.
1278.69 1279.66	LENORE: 	(H)]
1279.66 1280.06	        	.. [2So,
1279.76 1280.26	ALINA:  	   [2(H)2]
1280.06 1280.26	LENORE: 	uh2],
1280.26 1281.41	        	who's gonna take ~Hector's place.
1281.41 1281.91	ALINA:  	.. It- --
1281.91 1282.66	        	.. (Hx) I don't know.
1282.66 1283.66	        	[They'll have to see].
1282.86 1283.81	LENORE: 	[They gonna .. bring in] some,
1283.81 1285.54	        	.. @@ @neurotic [2from New Jersey2]?
1284.87 1285.47	ALINA:  	                [2(H)=2]
1285.54 1285.87	LENORE: 	@[3@3]
1285.70 1286.75	ALINA:  	 [3Yeah3] sounds like [4a good idea.
1286.17 1287.02	LENORE: 	                      [4(H)4]
1286.80 1288.37	ALINA:  	Somebody4] that could sit there and take orders,
1288.37 1289.67	        	and listen to what they have to say,
1289.67 1290.52	        	and how they wanna do it.
1290.52 1291.92	        	.. Part of the problem with this whole thing was,
1291.92 1292.22	        	that uh,
1292.22 1292.87	        	how I see it,
1292.87 1295.37	        	(H) was that !Ellen was not relinquishing t- her duties,
1295.37 1296.62	        	to let ~Hector go ahead and run it,
1296.62 1298.12	        	~Ja=ke was feeling threatened,
1298.12 1298.57	        	sc- because,
1298.57 1300.52	        	associate producer is supposed to run editorial.
1300.52 1302.22	        	(H) .. And b- it makes sense.
1302.22 1303.42	        	~Hector .. had an Emmy.
1303.42 1304.65	        	.. nomination,
1304.65 1306.35	        	.. I would let him run editorial.
1306.35 1308.60	        	I would let him do anything he wanted to do in editorial.
1308.60 1309.85	        	(H) They clipped his wings.
1309.85 1310.95	        	They wouldn't let him do anything.
1310.95 1312.75	        	... There are three shows in trouble.
1312.75 1314.60	        	.. (H) He was not allowed to help on any of em.
1314.60 1315.45	        	... None of em.
1315.45 1317.71	LENORE: 	... That's changed now though,
1317.71 1318.36	        	he can [be,
1318.36 1319.38	        	.. like he was before again,
1318.18 1319.68	ALINA:  	       [(H)= Yeah].
1319.38 1319.68	LENORE: 	edit],
1319.68 1320.62	        	and the neurotics [2are2] out.
1320.15 1320.31	ALINA:  	                  [2(Hx)2]
1320.62 1320.97	        	Well,
1320.97 1321.62	        	what's gonna happen,
1321.62 1322.67	        	that he is editorial.
1322.67 1323.12	        	Period.
1323.12 1324.90	        	Cause st- !Stevie's supposed to leave in February,
1324.90 1325.65	        	so unless they f- --
1325.65 1326.00	        	.. they --
1326.00 1327.15	        	.. They have to [look for an editor].
1326.47 1327.74	LENORE: 	                [!Rosenblum's coming] back though isn't he.
1327.74 1329.24	ALINA:  	.. (TSK) I don't know what he's gonna do.
1329.24 1330.94	        	... He wants to work actually features.
1330.94 1332.21	        	He doesn't really wan[na do] TV.
1331.57 1331.82	LENORE: 	                     [(H)]
1332.21 1333.33	ALINA:  	(H) (SNIFF)
1333.33 1333.63	LENORE: 	Hm.
1333.63 1335.33	ALINA:  	.. I went and saw their house the other night.
1335.33 1336.48	LENORE: 	... Where is it.
1336.48 1337.23	ALINA:  	Their new [house].
1336.85 1337.10	LENORE: 	          [(THROAT)]
1337.23 1337.93	ALINA:  	.. It's u=m,
1337.93 1339.13	        	you know [where] Beverly Glen is?
1338.03 1338.78	LENORE: 	         [(SWALLOW)]
1339.13 1339.28	        	.. (TSK)
1339.28 1341.03	ALINA:  	(H) It's one of those [streets off of] there.
1340.20 1340.70	LENORE: 	                      [(H)]
1341.03 1341.96	ALINA:  	.. It's a nice little % --
1341.96 1342.26	LENORE: 	North,
1342.26 1342.81	        	.. or south,
1342.81 1343.46	        	.. of Sunset.
1343.46 1344.29	ALINA:  	... Oh,
1344.29 1344.69	        	south,
1344.69 1345.19	        	of course.
1345.19 1345.64	        	[Way down].
1345.19 1345.46	LENORE: 	[(TSK) Oh].
1345.64 1346.94	ALINA:  	They're right off of Pico and,
1346.94 1348.47	        	.. (H) I know.
1348.47 1349.62	        	... (Hx) <% How crass.
1349.62 1350.47	        	... True cuz %>.
1350.47 1350.92	        	But it's in- --
1350.92 1352.30	        	Right next door is !Ted !Rich,
1352.30 1352.80	        	who's uh=,
1352.80 1354.75	        	.. (H) one of the biggies at MTM,
1354.75 1355.55	        	.. (TSK) or,
1355.55 1356.90	        	Lorimar or MGM,
1356.90 1357.95	        	.. oh I forgot which one.
1357.95 1359.00	LENORE: 	@@@[@@]
1358.37 1359.91	ALINA:  	   [@]@[2@
1359.32 1359.89	LENORE: 	       [2One of them2].
1359.91 1361.36	ALINA:  	(H)2] One of those places.
1361.36 1363.06	        	(H) It all means [3the same to me3]=.
1362.01 1362.98	LENORE: 	                 [3(H)3]
1363.06 1363.51	ALINA:  	(H) [4You know,
1363.43 1363.84	LENORE: 	    [4really4].
1363.51 1364.64	ALINA:  	I can never4] tell the difference.
1364.64 1364.97	        	[5(H)5]
1364.80 1365.23	LENORE: 	[5M5]TM,
1365.23 1365.78	        	MGM,
1365.78 1366.40	        	   [Lorimar,
1365.78 1366.39	ALINA:  	   [Except one day,
1366.40 1366.70	LENORE: 	@]
1366.39 1366.95	ALINA:  	~Hector] was s- --
1366.95 1367.20	        	you know,
1367.20 1368.05	        	they were scoring?
1368.05 1369.15	        	.. the .. show last week?
1369.15 1369.40	        	And I --
1369.40 1370.88	        	.. and I called up [to talk] to him,
1370.14 1370.39	LENORE: 	                   [(H)]
1370.88 1371.03	ALINA:  	and,
1371.03 1372.23	        	(H) I could hear the um,
1372.23 1375.08	        	... the musicians in the back[ground] tuning up their instruments?
1373.65 1373.75	LENORE: 	                             [(Hx)]
1375.08 1375.83	ALINA:  	(H) And then,
1375.83 1376.18	        	.. you know,
1376.18 1377.30	        	<X and X> it's okay to talk to ~Hector,
1377.30 1378.40	        	I could .. hear him a little bit,
1378.40 1379.15	        	but not too well,
1379.15 1380.33	        	but you know I still could tal=k to him,
1380.33 1380.91	        	and the next thing you hear,
1380.91 1382.83	        	all these h=or=ns blar=ing.
1382.83 1383.33	        	So he said,
1383.33 1383.58	        	~Lina,
1383.58 1384.63	        	I have to go=.
1384.63 1385.78	        	<@ No= shi=t.
1385.78 1387.28	LENORE: 	@@@[@@@]
1386.83 1388.47	ALINA:  	   [(H)] I can't hear you [2at all2],
1388.15 1388.45	LENORE: 	                          [2(H)2]
1388.47 1389.22	ALINA:  	sweetheart @>.
1389.22 1390.27	        	.. @@
1390.27 1391.11	        	(H) <@ Call me,
1391.11 1392.02	        	when I can hear you @>.
1392.02 1393.83	        	(H)= It was funny.
1393.83 1395.95	        	(H)... [That's the only part] I'll miss,
1394.89 1395.44	LENORE: 	       [So X X] --
1395.95 1396.20	ALINA:  	but,
1396.20 1396.95	        	X [(Hx)] --
1396.32 1397.62	LENORE: 	  [His position] is pretty uh,
1397.62 1398.87	ALINA:  	... % (TSK) (H) stable.
1398.87 1399.22	        	.. Yeah.
1399.22 1399.72	        	.. ~Fletcher --
1399.72 1400.02	        	.. Well see,
1400.02 1402.92	        	actually ~Fletcher was going to ask ~Hector to move back to editorial,
1402.92 1403.96	        	but he didn't know how to approach him,
1403.96 1406.21	        	cause he thought he was so thrilled about being associate producer.
1406.21 1407.26	        	But ~Hector really ha=ted it.
1407.26 1408.36	        	(H) So ~Hector's the one,
1408.36 1409.56	        	(H) .. when was it.
1409.56 1410.11	        	.. Two weekend- --
1410.11 1411.13	        	... Two weekends ago?
1411.13 1411.73	        	Or last weekend.
1411.73 1411.88	        	He --
1411.88 1412.38	        	c- he said- --
1412.38 1413.23	        	He looked at me and he goes,
1413.23 1413.95	        	.. <Q p_so.
1413.95 1414.68	        	... ~Lina,
1414.68 1415.93	        	.. what happens on Hanukkah (Hx) Q>.
1415.93 1416.98	        	@@ And I was going,
1416.98 1419.20	        	... (H) I can't exactly remember the story,
1419.20 1419.48	        	but,
1419.48 1420.73	        	.. all I know is you light a candle,
1420.73 1421.73	        	and open a present.
1421.73 1422.46	        	.. And he goes,
1422.46 1422.76	        	so,
1422.76 1423.56	        	if I call ~Fletcher,
1423.56 1424.71	        	it wouldn't be any great shakes,
1424.71 1425.06	        	and I said,
1425.06 1425.36	        	nope.
1425.36 1425.71	LENORE: 	(SWALLOW)
1425.71 1426.76	ALINA:  	.. (H) <X I said what X>,
1426.76 1427.46	        	h- he di- --
1427.46 1428.86	        	.. never told me why he was calling up ~Fletcher,
1428.86 1429.31	        	so %- --
1429.31 1429.69	        	.. um,
1429.69 1430.91	        	Sunday he looked at me and he goes,
1430.91 1432.03	        	(H) I'm calling ~Fletcher,
1432.03 1433.18	        	I want to go back to editorial.
1433.18 1433.93	        	.. I said <Q okay,
1433.93 1434.38	        	.. go ahead Q>.
1434.38 1436.18	        	.. (H) So he called ~Fletcher,
1436.18 1438.23	        	... and ~Fletcher was so= .. relie=ved.
1438.23 1440.61	        	... Cause he wanted to ask ~Hector to move back to editorial.
1440.61 1441.88	        	.. He's just happy he did it.
1441.88 1443.71	LENORE: 	Why did he want to ask ~Hector to move back to editorial.
1443.71 1445.96	ALINA:  	(H) Because he's so unhappy with the editorial staff.
1445.96 1449.21	        	... That they couldn't get what they wanted out of ~Sherry,
1448.86 1449.31	LENORE: 	(Hx)
1449.31 1451.41	ALINA:  	and they couldn't get what it- .. they wanted out of !Seppie.
1451.41 1452.96	        	.. (H) It's actually not !Seppie's fault,
1452.96 1453.31	        	it's kind of,
1453.31 1454.61	        	they needed to work with him more,
1454.61 1457.06	        	but that .. ~Sh=erry was impo=ssible.
1457.06 1459.75	        	(H) .. (Hx) She was a witch.
1459.75 1463.95	        	... (TSK) And then her assistant .. pulled stunts where she didn't ... (H) do stuff,
1463.95 1465.95	        	that= everybody knows assistants do.
1465.95 1466.75	        	.. which I wouldn't know,
1466.75 1467.70	        	but- cause I'm <X no X> assistant.
1467.70 1468.25	        	(H) But,
1468.25 1468.75	        	things like,
1468.75 1471.57	        	.. making sure that the script gets to the people doing the sound effects,
1471.57 1473.07	        	so that they can follow alo=ng,
1473.07 1475.65	        	and make certain that their= sound effects are going in the right spots,
1475.65 1476.40	        	that kind of thing?
1476.40 1479.65	        	(H) She totally screwed up the- the show that they're working on now,
1479.65 1480.95	        	.. I don't know what number that is.
1480.95 1482.95	        	... (Hx)
1482.95 1483.55	        	[!Sylvia].
1483.00 1484.20	LENORE: 	[What show] is being shown now.
1484.20 1485.41	ALINA:  	.. (H) .. Well,
1485.41 1486.46	        	it's the one they're working on,
1486.46 1488.65	        	.. v- the one they're working on's not always the one that's being shown.
1488.65 1488.80	LENORE: 	No.
1488.80 1489.85	        	But what .. one is tonight.
1489.85 1490.40	ALINA:  	.. Tonight?
1490.40 1491.07	        	.. I don't know.
1491.07 1491.50	LENORE: 	.. Four?
1491.50 1491.78	        	[.. Five?
1491.64 1492.23	ALINA:  	[(H)]
1491.78 1492.23	LENORE: 	.. Six]?
1492.23 1492.58	ALINA:  	This i- --
1492.58 1493.13	        	.. I don't know.
1493.13 1493.98	        	... We'll have to ch- --
1493.98 1494.14	        	Oh,
1494.14 1495.83	        	this is the second one in the new sea[son,
1495.61 1495.98	LENORE: 	                                     [Hm].
1495.83 1496.43	ALINA:  	but I] don't know,
1496.43 1498.28	        	(H) if this was really number two,
1498.28 1498.78	LENORE: 	.. H[m].
1498.63 1499.28	ALINA:  	    [how] they placed it,
1499.28 1499.88	        	or if it was like,
1499.88 1500.68	        	.. like you said,
1500.68 1501.78	        	number three four or five.
1501.78 1504.08	        	.. (H) Because they had such a b- hard time with it.
1504.08 1505.63	        	Like last week's wasn't supposed to be shown,
1505.63 1506.88	        	even though it was supposed to be number one,
1506.88 1508.03	        	because it was so poorly done.
1508.03 1510.63	        	... It had so much wrong with it.
1510.63 1512.36	        	(H) ~Hector kept trying to get it corrected,
1512.36 1513.11	        	like a month ago?
1513.11 1514.29	        	... And they kept stopping him,
1514.29 1514.69	        	stopping,
1514.69 1515.07	        	stopping,
1515.07 1515.49	        	stopping,
1515.49 1515.97	        	stopping.
1515.97 1516.92	LENORE: 	... (TSK) Cause of her.
1516.92 1518.37	ALINA:  	... (TSK) Cause of her=,
1518.37 1519.12	        	.. cause of ~Ja=ke.
1519.12 1520.02	        	... Nixon.
1520.02 1521.07	        	He didn't want him to do it.
1521.07 1523.37	        	.. (H) And it makes him look like an idiot,
1523.37 1524.62	        	... cause he's the director,
1524.62 1526.52	        	and you can tell where he='s missed the shots.
1526.52 1528.82	        	(H) Has n=othing whatsoever to do with anybody el=se.
1528.82 1529.52	        	.. It's ~Ja=ke.
1529.52 1530.17	        	... But he'll s- --
1530.17 1531.82	        	He'd cut off his nose to spite his face.
1531.82 1532.97	        	... That's s=tupid.
1532.97 1535.92	        	.. (H) So now ~Fletcher's starting to realize what's going on.
1535.92 1536.92	        	(H) It's hard,
1536.92 1537.27	        	.. because,
1537.27 1539.32	        	.. the h=atchet man actually in the group is !Ed.
1539.32 1540.62	        	.. !Ed's the one that'll come in,
1540.62 1543.03	        	... (TSK) and he'll go ahead and say,
1543.03 1544.68	        	.. (H) this is what needs to be done.
1544.68 1545.90	        	... Okay,
1545.90 1546.15	        	and h- --
1546.15 1546.80	        	or he'll look at you,
1546.80 1547.10	        	and he'll go,
1547.10 1548.47	        	<Q that was a s=tupid thing to do,
1548.47 1549.37	        	why'd you do that Q>.
1549.37 1549.67	        	.. You know,
1549.67 1551.07	        	makes the editor really stop and think.
1551.07 1552.52	        	Or makes whoever it is stop and think,
1552.52 1553.22	        	the director.
1553.22 1554.68	        	(H)= But,
1554.68 1556.03	        	.. ~Fletcher'll kind of sit there and kind of go,
1556.03 1556.43	        	<VOX we=ll,
1556.43 1557.18	        	m=hm=.
1557.18 1557.48	        	Well,
1557.48 1557.98	        	let me see,
1557.98 1558.18	        	that --
1558.18 1559.43	        	that seemed to be okay=,
1559.43 1560.33	        	but I'll have to think about it VOX>.
1560.33 1561.53	        	He's real wishy-washy.
1561.53 1563.78	        	.. (H) (SNIFF) He's too= uh,
1563.78 1564.73	        	.. namby pamby.
1564.73 1566.03	        	... You need somebody to come in and go,
1566.03 1566.33	        	.. (POW).
1566.33 1566.73	        	.. (POW).
1566.73 1567.13	        	.. (POW).
1567.13 1567.93	LENORE: 	... Yeah[=].
1567.83 1569.07	ALINA:  	        [(H)]= t_So=,
1569.07 1570.02	        	.. they're kind of suffering that --
1570.02 1571.22	        	% (Hx) from that this year.
1571.22 1572.17	        	.. Not having that on there.
1572.17 1572.68	        	.. But,
1572.68 1574.28	        	~Fletcher's having to learn how to be more assertive.
1574.28 1576.28	        	Otherwise his show's just gonna go down the tubes.
1576.28 1576.73	LENORE: 	Yeah[=].
1576.60 1578.10	ALINA:  	    [(H)] And they can't afford that right now.
1578.10 1579.30	LENORE: 	.. How many countries is it in.
1579.30 1579.65	        	Do you know?
1579.65 1580.20	ALINA:  	.. M-m.
1580.20 1580.85	        	.. All I know is,
1580.85 1581.95	        	!Cathy saw it in France.
1581.95 1582.70	LENORE: 	.. Oh really?
1582.70 1582.95	ALINA:  	Yeah.
1582.95 1583.95	        	.. I forgot what it's called.
1583.95 1584.95	        	... (H) [Some]thing --
1584.46 1584.70	LENORE: 	        [Huh].
1584.95 1585.45	ALINA:  	It's about --
1585.45 1587.65	        	has to do with the bar ... generation.
1587.65 1588.25	        	@ Um,
1588.25 1588.65	        	[@@]
1588.30 1589.50	LENORE: 	[The-] .. b=a=r gen[2era-2] --
1589.25 1589.72	ALINA:  	                   [2generati2]on.
1589.72 1590.17	        	Yeah=.
1590.17 1591.17	        	% % (TSK) Uh[=,
1590.92 1591.37	LENORE: 	[<X What X>]?
1591.17 1591.62	ALINA:  	what] is it.
1591.62 1592.50	        	(DRINK)
1592.50 1593.75	LENORE: 	The b=a=r generation?
1593.75 1595.10	        	In what sense bar generation.
1595.10 1596.45	ALINA:  	(SWALLOW) Oh no,
1596.45 1597.25	        	% ... <L2 Pub L2>.
1597.25 1598.00	        	... The Pub.
1598.00 1599.12	        	... [The Pub Generation].
1598.21 1599.01	LENORE: 	    [@@@]
1599.12 1599.52	ALINA:  	There you go.
1599.52 1600.02	        	(H)
1600.02 1600.82	LENORE: 	<L2 Pu[=b L2>].
1600.42 1601.70	ALINA:  	      [@@]@[2@2]
1601.36 1602.43	LENORE: 	           [2@@2] French.
1602.43 1602.89	        	[3(H)3]
1602.66 1603.36	ALINA:  	[3(H)3] So !Cathy --
1603.36 1604.31	        	[4They watched4] it in French,
1603.36 1603.66	LENORE: 	[4g=-4] --
1604.31 1605.15	ALINA:  	it was absolutely hilarious,
1605.15 1606.40	LENORE: 	<WH Oh[=] Go=d WH>.
1605.42 1605.57	ALINA:  	      [(H)]
1606.40 1608.18	        	.. <VOX I know= cu==z,
1608.18 1608.78	        	I know,
1608.78 1610.08	        	.. [<X I thought X> that] was really funny,
1608.83 1609.48	LENORE: 	   [<P Dorks].
1610.08 1612.34	ALINA:  	.. (H) [2The /pub/2] Generation VOX>.
1610.96 1611.51	LENORE: 	       [2Wow=2].
1612.34 1613.89	        	.. (H) Have it in France.
1613.89 1615.09	ALINA:  	.. (TSK) [I know].
1614.54 1615.24	LENORE: 	         [That's good P>].
1615.24 1616.19	ALINA:  	... (H) And they- --
1616.19 1617.34	        	they saw !Mako.
1617.34 1618.35	LENORE: 	... [(SWALLOW)]
1618.19 1618.64	ALINA:  	    [Did I] tell you,
1618.64 1619.29	        	.. ~Harlan's wife?
1619.29 1620.50	LENORE: 	... Where=.
1620.50 1622.10	ALINA:  	(H) They had dinner [with her] one night.
1621.45 1621.70	LENORE: 	                    [(H)]
1622.10 1623.20	        	.. Yeah[2=2]?
1622.87 1623.35	ALINA:  	       [2And !Cathy2] said,
1623.35 1623.63	        	<VOX oh yeah,
1623.63 1625.87	        	supposedly [~Alina's been on this diet and lost weight VOX>.
1624.25 1626.25	LENORE: 	           [(H)= (Hx)]
1625.87 1626.30	ALINA:  	She said],
1626.30 1627.02	        	(H) <VOX oh.
1627.02 1628.60	        	.. You mean she's not so ch=ubby VOX>?
1628.60 1630.40	        	... (TSK) Ooh,
1630.40 1631.60	        	wait'll I see that bitch again.
1631.60 1634.18	        	... Was that nasty,
1634.18 1634.64	        	or what.
