0.00 1.24	KEVIN:  	Is that just [carbonated water]?
803.84 804.44	KEVIN:  	with an4][5 A5]A.
804.44 804.81	        	[6And a p_6] __
804.29 805.16	KENDRA: 	[6Sca6]ry[7=7].
805.01 806.31	KEVIN:  	         [7And a7] pretty bad PVA=.
806.09 807.75	KEN:    	[8@8] [9@ @ @9]
806.09 807.75	MARCI:  	[8S8][9ca=ry=9].
806.09 807.75	WENDY:  	[8@9][9=9]
806.31 808.54	KENDRA: 	     [9@@@ Pretty bad9] [PVA=].
807.75 809.87	WENDY:  	                        [@@@ I was like rea]dy to grab !Kevin and run.
809.87 810.67	        	... [2Cause I thought2],
809.87 811.32	KENDRA: 	    [2I='d2] [3say=3].
810.67 811.32	MARCI:  	             [3J=ee=sh3].
810.67 812.42	WENDY:  	             [3what is this guy=3] doing %.
812.42 813.72	MARCI:  	... That's wild.
813.72 814.27	KEVIN:  	It was.
814.27 815.29	WENDY:  	... It was [weir][2d2].
814.72 814.92	KEN:    	           [Mm].
814.92 815.29	KENDRA: 	                 [2That2] __
815.29 816.58	        	... No more card[3s3],
816.43 817.78	KEVIN:  	                [3And we3] turned around and our car was gone.
817.78 819.43	WENDY:  	... @[4=4]
819.08 819.88	KEVIN:  	     [4@4] Just kidding.
819.88 820.63	KENDRA: 	... <@ Yeah,
820.63 821.08	        	really @>.
821.08 821.95	KEN:    	[@@@]
821.08 822.26	MARCI:  	[Not till Monday] night.
822.26 823.36	KENDRA: 	... <VOX No=,
823.36 824.51	        	I want [em now VOX>].
823.48 825.03	KEVIN:  	       [<<CLAP ++++] So that's it,
825.03 825.18	        	[2then2].
825.03 826.50	MARCI:  	[2Then2] what will you do Monday night.
826.50 828.10	WENDY:  	... Bake cookies.
828.10 828.95	KENDRA: 	.. Bake cookies.
828.95 829.90	MARCI:  	.. [@@@]
829.35 830.17	KENDRA: 	   [I don't know]=.
830.17 831.35	MARCI:  	... [2You can2] [3wait3].
830.82 831.86	KENDRA: 	    [2So2] [3maybe I3] [4should wait4].
831.13 832.73	WENDY:  	                [3So are3] [4you moving in4] the beginning of November?
832.73 833.95	KENDRA: 	... Yup.
833.95 834.90	WENDY:  	Just drag your birthday out.
834.90 835.65	        	[That's what I would do].
834.90 837.07	MARCI:  	[(TSK) Don't forget] to buy yourself a cookie sheet,
837.07 838.57	        	.. before you go to make cookies,
838.57 838.87	WENDY:  	[Yeah,
838.57 840.67	KEVIN:  	[And don't forget] to take the Tupperware out of your oven,
838.87 839.25	WENDY:  	you] __
840.67 841.60	KEVIN:  	before you turn it [2on2].
841.33 842.23	WENDY:  	                   [2Sh2]=ush up.
842.23 844.48	MARCI:  	... @@[3@@@@@@@3]
843.10 843.85	KENDRA: 	      [3<@ Oh yeah=,
843.85 844.48	        	that too @>3].
844.48 846.08	        	(H) <SM Well I'm not gonna have to store @it in there.
846.08 847.03	        	I don't @have anything,
847.03 848.15	        	@my @apartment's pretty small,
848.15 849.23	        	but I don't @have anything.
849.23 851.23	        	.. (H) I'm gonna fill up maybe two cupboards SM>.
851.23 851.78	KEVIN:  	<X There you [have it] X>.
851.55 852.07	KENDRA: 	             [<VOX<HI @][2@2]
851.55 853.40	WENDY:  	             [<VOX You'll] [2be s2]urpri=[3sed3].
853.20 854.00	KENDRA: 	                                         [3@3][4@@@4]
853.15 854.00	MARCI:  	                                         [3@3][4@@@@4]
854.00 854.21	KEVIN:  	[5(TSK)5]
854.00 854.22	WENDY:  	[5(H)5]
854.22 854.95	KENDRA: 	[6@@@@ HI>VOX>6]
854.27 855.43	WENDY:  	[6It happens so 6] quickly VOX>.
855.43 856.81	KEN:    	... You got a food processor,
856.81 857.31	        	and everything.
857.31 858.31	KENDRA: 	... <X What uh X>?
858.31 858.51	        	.. Hunh?
858.51 859.91	KEN:    	.. You got a food processor,
859.91 860.36	        	and a=,
860.36 861.71	        	... what all did you guys get back.
861.71 862.56	        	... Mixer?
862.56 864.16	        	... What all did [you] __
863.91 864.16	MARCI:  	                 [(TSK)]
864.16 864.66	KEVIN:  	From what.
864.66 865.81	KEN:    	... From uh=,
865.81 866.31	        	.. !Gladys.
866.31 867.86	        	... [(TSK)]
867.56 867.91	MARCI:  	    [<VOX Oh VOX>].
867.36 867.91	KEVIN:  	    [Oh],
867.91 869.41	        	.. I don't think we took any[2thing from there2].
868.71 870.91	MARCI:  	                            [2Don't take any2]thing from !Gladys's.
870.91 872.27	KENDRA: 	... [3I got that little hand mixer3].
871.31 872.21	KEN:    	    [3Oh it's okay=3].
872.25 875.64	MARCI:  	S=tuff isn't ... [4electrically4] sou=nd.
873.95 874.70	WENDY:  	                 [4Try it4].
874.15 874.80	KENDRA: 	                 [4I want that4] __
875.64 877.95	        	.. I want [5that .. che=st upstai5]=rs.
876.09 877.79	WENDY:  	          [5@= Get a little extra jolt5].
877.95 879.20	KENDRA: 	That wooden chest?
879.20 880.37	        	... Da=ng.
880.37 881.05	        	[Ow=].
880.37 881.55	MARCI:  	[Which wooden] chest.
881.55 882.06	KENDRA: 	[2(H) I don't know,
881.55 882.21	KEN:    	[2What wooden chest2].
882.06 884.01	KENDRA: 	!K2]elly said she %= ... a=sked for it,
884.01 884.55	        	and I was like,
884.55 886.00	        	.. <Q I= saw it before she= did Q>,
886.00 887.52	        	and I asked a long time ago.
887.52 888.40	        	and nobody said anything.
888.40 888.55	        	And,
888.55 890.17	        	(H) <Q well we'll find out what it i=s Q>.
890.17 891.65	KEVIN:  	That's because you didn't say mother may I.
891.65 892.46	WENDY:  	@[=][2=2] __
892.03 892.46	KEN:    	 [Where's] [2that2].
892.19 893.64	MARCI:  	    [2@2][3@@3][4@@@4]
892.46 893.11	KENDRA: 	         [3<P<X Go3][4=d dang X>P>.
892.66 893.95	KEN:    	               [4At .. !Gladys's4] house?
893.11 893.64	KENDRA: 	.. In the h_4] __
893.95 894.26	KEN:    	[5Or what5].
893.96 894.26	KENDRA: 	[5Yeah5].
893.96 894.81	MARCI:  	[5@5]@ [6(H)6]
894.36 894.82	KENDRA: 	       [6Upstairs6].
894.82 895.76	MARCI:  	@@@@
895.76 897.05	KENDRA: 	... There's a chest,
897.05 897.41	        	It's like,
897.41 897.61	        	It l_ __
897.61 898.91	        	It's [either] like a cedar=,
897.78 898.03	KEN:    	     [(TSK)]
898.91 899.51	KENDRA: 	or something,
899.51 900.76	        	I [mean it's] swee=t.
899.61 900.01	KEN:    	  [Mm=].
900.76 902.36	KENDRA: 	... A hope chest.
902.36 902.96	KEN:    	... Hmm.
902.96 904.36	WENDY:  	... <P I didn't know if it was __
904.36 905.30	        	.. if something was [on] P>.
904.83 905.30	KEN:    	                    [Hm].
905.30 905.85	MARCI:  	.. Oh.
905.85 907.31	        	... Hm.
907.31 908.45	WENDY:  	    So you want a hope chest [2!Kendie?
908.24 909.13	MARCI:  	                             [2Well happy birthday,
908.45 910.08	WENDY:  	I thought you already had a hope che2]st.
909.13 909.58	MARCI:  	!Kendie2].
910.08 911.43	        	... Happy happy.
911.43 912.12	KENDRA: 	.. <VOX Yeah we=ll,
912.12 912.68	        	anyway.
912.68 915.78	        	... Quit talking about my chest,
915.78 916.43	        	thank you VOX>.
916.43 917.68	WENDY:  	... <VOX @@@ VOX>
917.68 919.23	        	.. (H) Now you'll have spatulas.
919.23 920.28	        	Those are good spatula[s].
920.13 921.13	KENDRA: 	                      [<VOX I] kno=w VOX>.
921.13 923.33	MARCI:  	(H) Rubber Maid makes the best spatula[2s2].
923.18 923.93	KENDRA: 	                                      [2(H) No2]nbreakable.
923.93 924.68	        	.. What's this.
924.68 926.50	WENDY:  	... <@ Another one of my hairs @>.
926.50 926.93	KENDRA: 	[<HI Eek HI>].
926.65 928.76	MARCI:  	[@]@@[2@ (H)2] @@
927.30 927.95	KEVIN:  	     [2Ew=2].
928.76 929.41	MARCI:  	(H) !Wendy,
929.41 929.78	        	[you] __
929.41 929.78	WENDY:  	[Wha_] __
929.78 931.00	MARCI:  	you gotta quit @shedding.
931.00 933.13	        	@[@ (H) @It's just gross].
931.38 932.18	WENDY:  	 [<% I= know= %>.
932.18 932.75	        	<X I was just like X>,
932.75 934.15	        	I've got]ta check this stuff out,
934.15 934.35	        	<X and if_ X> __
934.35 934.85	        	cause if it's,
934.85 935.10	        	.. like,
935.10 935.80	        	gonna be junk,
935.80 936.85	        	.. I'm not gonna give it to [!Kendra,
936.47 937.32	KENDRA: 	                            [(SNEEZE)]
936.85 937.32	WENDY:  	because],
937.32 938.15	KEN:    	... <P Bless you P>.
938.00 938.66	WENDY:  	[she'll break it].
938.05 938.66	KENDRA: 	[(Hx)]
938.66 939.76	MARCI:  	... [2@@@@2]
939.21 940.18	WENDY:  	    [2And then she'll cut2] herself,
940.18 941.06	        	and blame it on me.
941.06 941.51	        	.. [So=],
941.06 941.51	X:      	   [(THROAT)]
941.51 942.29	KEVIN:  	[2@=@2]
941.61 942.24	MARCI:  	[2X2]
941.51 941.94	KENDRA: 	[2Yeah,
941.94 942.54	        	@real2][3l3][4y4].
942.29 943.68	KEN:    	       [3@3][4=4][5@@@5]
942.41 943.08	MARCI:  	            [4Tha4][5t's righ5][6t6].
942.93 943.88	WENDY:  	                               [6She'll6] [7sue me7].
943.18 944.78	MARCI:  	                                          [7She does that all7] the time.
944.78 945.75	WENDY:  	... She'll [8sue me8].
945.15 946.07	MARCI:  	           [8Brea=ks8] stuff,
946.07 947.20	        	and .. cuts @herself,
947.20 948.56	        	[and blames it] on us.
947.20 948.02	KEVIN:  	[(THROAT)]
948.56 948.91	WENDY:  	And there __
948.91 949.18	KEVIN:  	[(THROAT)]
948.91 949.09	KENDRA: 	[Yeah,
948.91 950.84	WENDY:  	[Do you have a] [2dishwa2]sher in your ... apartment,
949.09 949.49	KENDRA: 	I] [2know2].
950.84 951.33	        	... Nope,
951.33 952.40	        	I get to handwash everything.
952.40 953.15	WENDY:  	Oh honey.
953.15 955.10	        	... (H) Oh you're gonna [have so much fun].
954.12 955.22	KEN:    	                        [Isn't there a dishwasher in] there?
955.22 956.50	WENDY:  	% You're moving in the beginning of November?
956.50 957.47	KENDRA: 	<HI I don't think there is HI>.
957.47 959.87	        	... Yeah.
959.87 962.62	        	(H) .. <HI X X know how to wash dishes HI>.
962.62 964.37	WENDY:  	... Do you have any furniture yet?
964.37 966.17	KENDRA: 	... I'm taking that couch,
966.17 968.02	        	... (SNIFF) and [um=,
967.49 968.74	WENDY:  	                [<@ The cat_pee c_ __
968.02 969.29	KENDRA: 	.. that's what I'll have room for].
968.74 971.09	WENDY:  	(H) The] cat_pee [2(H) cou_ couch@>2].
969.96 971.09	KENDRA: 	                 [2The cat_pee couch2].
971.09 971.97	        	[3@@@@@3]
971.24 971.97	KEVIN:  	[3@Gro=ss3].
971.09 972.28	WENDY:  	[3@= @@3] (H)
972.43 973.35	KENDRA: 	[4And my be4]=d,
972.28 972.88	KEVIN:  	[4Yeah I remember,
972.88 973.05	        	I4] __
973.35 975.30	        	.. I'd just bought [5a coat from5] [6uh6][7=7],
973.95 974.60	KENDRA: 	                   [5and my dresser,
974.60 975.05	        	that's it5][6=6].
974.87 975.15	WENDY:  	                                   [6Oh6],
975.15 975.55	        	                                         [7goo7][8=d8].
975.35 976.35	KEVIN:  	[8A8]pple[9baum9]s.
975.70 976.12	WENDY:  	         [9Good9].
976.35 978.15	KEVIN:  	(H) And [put it on that cat_ ..] couch,
976.75 977.80	WENDY:  	        [(H) Well we've go=t] __
978.15 979.45	KEVIN:  	and Tig[2ger2] puked @on @it.
978.45 978.65	KENDRA: 	       [2@2]
979.45 981.00	KEVIN:  	[3@@@@ (H)3]
979.45 981.00	WENDY:  	[3(Hx) <VOX Wha=t VOX>3]?
979.65 981.00	KEN:    	[3@@@@@3]
981.00 982.32	KENDRA: 	[4<<VOMIT-SOUND ++4] [5+ VOMIT-NOISE>>5]
981.00 981.56	KEVIN:  	[4<HI He did HI>.
981.56 981.72	        	He __
981.72 982.62	        	(H)4] [5My new5] clothes,
981.79 982.31	WENDY:  	                     [5<X What hap_ X>5] __
982.62 983.12	KEVIN:  	I was [6lay_6] __
982.85 984.92	MARCI:  	      [6<SM<HI How do6] you remember Applebau[7ms SM>HI>7].
984.80 985.78	WENDY:  	[7<HI What 7][8 did you buy= HI>8]?
984.60 985.78	KEVIN:  	[7I was7][8 laying em @down8],
985.78 987.02	KENDRA: 	[9Oh= Applebaums.
985.78 986.35	KEVIN:  	[9I bought __
986.35 988.52	        	(H) I bought a coo=l bei=ge jacket,
987.02 988.32	KENDRA: 	That was a great place,
988.32 988.67	        	man9].
988.52 989.80	KEVIN:  	that9] I thought was just like a __
989.80 991.31	KENDRA: 	.. [That was a great place].
989.90 991.75	KEVIN:  	   [(H) just like a scientist] jacket.
991.75 992.37	        	[2%@And @I2] __
991.85 992.37	KENDRA: 	[2(SNIFF)2]
992.37 994.22	KEVIN:  	(H)[3=3] And [4I had a4] pair of blue_jeans,
992.52 992.67	WENDY:  	   [3@3]
992.77 993.32	KENDRA: 	             [4@@4]
994.22 995.37	KEVIN:  	and I had a .. yellow,
995.37 995.82	        	.. or a,
995.82 997.62	        	... I think it was a yellow Adidas shirt,
997.62 998.87	        	(H) and a [new b]elt.
998.14 998.49	WENDY:  	          [U=m],
998.87 999.08	MARCI:  	S= __
999.08 1000.14	WENDY:  	you are [2a @clothes @freak2].
999.20 1001.08	KEVIN:  	        [2And I laid it all2] [3out on the couch,
999.20 1001.20	MARCI:  	        [2Isn't he a2] [3clo=thes frea=k3].
1001.08 1002.65	KEVIN:  	and3] Tigger .. puked on it @.
1002.67 1003.80	KENDRA: 	[4@@@@@4]
1002.65 1003.75	MARCI:  	[4@@@4]
1002.65 1004.43	KEN:    	[4@@@4][5@@5]
1003.80 1004.47	KENDRA: 	       [5Good answer5],
1003.80 1005.37	MARCI:  	       [5Is this a5] [6clothes6] freak.
1004.47 1004.94	KENDRA: 	                     [6Tigger6].
1005.37 1006.23	KEVIN:  	[7@@@@7]
1005.37 1006.59	WENDY:  	[7He remembers dis7]tinctly,
1006.59 1007.59	        	exactly what it was.
1007.59 1008.34	        	.. (H) [Um,
1008.03 1008.34	KENDRA: 	       [Yeah,
1008.34 1008.89	        	I would say].
1008.39 1009.64	WENDY:  	(H)] We have end_ __
1009.64 1010.19	        	.. Well I don't __
1010.19 1012.34	        	.. I don't think we'll be taking the end_tables to Bulgaria.
1012.34 1012.49	X:      	X
1012.49 1013.79	KEVIN:  	... I'm sure we will not.
1013.79 1014.19	        	[(SNIFF)]
1013.96 1014.99	WENDY:  	[We have] .. end_tables.
1014.99 1015.99	        	... [2Too= for you that w_2] __
0.00 0.00	$ INDETERMINATE BETWEEN "TOO" AND "TWO"
	1014.99 1015.39	KENDRA: 	    [2What are_ __
1015.39 1015.99	        	.. What are they2].
1015.99 1016.24	WENDY:  	We_ __
1016.24 1017.29	        	The ones we have in our living room.
1017.29 1017.80	KEVIN:  	[(Hx)]
1017.49 1018.11	WENDY:  	[The wood] ones?
1018.11 1018.40	KENDRA: 	[2What are they2] __
1018.11 1018.73	KEVIN:  	[2They're the f2]ront end,
1018.73 1019.38	        	and the hind end.
1019.38 1020.23	WENDY:  	... @@@
1020.23 1021.88	KEN:    	@[@][2@2][3@@@3]
1020.43 1022.93	KEVIN:  	 [@][2=2][3=3][4@@@@4]
1020.73 1023.38	MARCI:  	    [2@@2][3@@@@3][4@@4][5@@@5]
1020.95 1021.88	WENDY:  	         [3@ @ @3]
1021.88 1022.25	        	              [4Oh,
1021.88 1023.88	KENDRA: 	              [4@@ I'll show you4] [5a front end5] [6and a hind end,
1022.25 1022.73	WENDY:  	boo4].
1022.93 1023.38	KEVIN:  	                        [5@@5]
1023.18 1023.95	WENDY:  	                                                   [6(H) They're the one_ __
1023.95 1024.35	        	.. They're6] [7the w_ __
1023.88 1024.90	KENDRA: 	pretty6] [7darn quick7].
1024.19 1024.90	KEVIN:  	             [7@@7]
1024.35 1025.25	WENDY:  	.. They're from Grandma7] [8!An_ __
1024.90 1025.25	KENDRA: 	                          [8(H)
1025.25 1025.65	        	Buddy.
1025.25 1025.90	WENDY:  	%= No I mean,
1025.90 1026.20	KENDRA: 	(H)8]
1025.90 1026.70	WENDY:  	they're from8] Nanna.
1026.70 1027.58	KENDRA: 	... Are they the squ_ __
1027.58 1028.93	        	.. They're squa=re to=pped tables?
1028.93 1029.55	        	[How high] [2are they2]?
1029.03 1029.34	WENDY:  	[Mhm].
1029.34 1030.09	KEVIN:  	           [2Oh they're2] nice.
1030.09 1031.49	KENDRA: 	... Oh that'd [3be3] grea=t.
1030.69 1030.79	WENDY:  	              [3They're3] __
1031.09 1032.39	KEVIN:  	[4You've never seen anything4] [5like5] them.
1031.09 1031.94	WENDY:  	[4They're end_tables4].
1031.89 1032.22	KENDRA: 	                               [5(SNIFF)5]
1032.39 1033.19	        	Cause I'm not gonna have_ __
1033.19 1033.44	        	% I __
1033.44 1033.84	        	% I don't (Hx) __
1033.84 1034.84	WENDY:  	<HI They're ni[=ce HI>].
1034.54 1035.29	KEN:    	              [You have to] [2give em back,
1034.89 1035.29	KEVIN:  	                            [2<HI I know= HI>.
1035.29 1035.94	KEN:    	when they come back,
1035.94 1036.24	        	though2].
1035.29 1036.64	KEVIN:  	They fit inside of2] [3each other,
1036.26 1036.51	KENDRA: 	                     [3Yeah,
1036.51 1036.84	        	really,
1036.84 1037.04	        	man3].
1036.64 1036.84	KEVIN:  	too.
1036.84 1037.84	        	(H)3] [4They stack up4].
1037.19 1037.74	KEN:    	      [4(THROAT)4]
1037.04 1037.84	WENDY:  	      [4They_ they s_4] __
1037.04 1038.44	KENDRA: 	      [4Well by that time4] I'm gonna be married,
1038.44 1039.34	        	and I'm not gonna need em.
1039.34 1040.09	        	.. Bu=t.
1040.09 1042.15	KEVIN:  	... (Hx) (TSK)
1042.15 1043.03	WENDY:  	... @@ [You want,
1042.70 1043.25	KENDRA: 	       [<X That would be good X>],
1043.03 1043.25	WENDY:  	What].
1043.25 1044.08	        	[2You're gonna get m=arried,
1043.25 1044.61	KEVIN:  	[2Did you notice the room got deathly silent2]?
1044.08 1045.51	WENDY:  	and you'll have2] all [3kind of money3]?
1044.89 1045.19	KEN:    	                      [3Yeah.
1045.19 1045.88	        	What are you3] gonna [4say4].
1045.67 1047.72	KEVIN:  	                     [4@4][5@ when5] [6!Kendie mentioned marriage6]?
1045.88 1046.52	KEN:    	                          [5@@5]
1045.88 1046.99	WENDY:  	                          [5<MRC Ha (H) ha5] [6.. ha ha.
1046.99 1048.73	        	(H) Ha6] (H) ha .. [7ha ha MRC>7].
1048.23 1048.73	KEVIN:  	                   [7(DRINK)7]
1048.73 1050.83	WENDY:  	(H) You think you'll get married and have all kinds of money.
1050.83 1051.28	KENDRA: 	[Oh yeah.
1050.83 1052.45	WENDY:  	[(H) <MRC Ha h=a .. ha ha MRC>].
1051.28 1052.50	KENDRA: 	I'm <X marrying into X> the money].
1052.50 1053.80	KEN:    	Ho [2ho ho=2].
1052.80 1053.66	KENDRA: 	   [2He's gonna be an engineer,
1053.66 1055.81	        	I'm2] gonna be a manager of a Merrill Lynch branch,
1055.81 1056.96	KEN:    	O[3=h .. ho ho3].
1056.23 1057.91	KENDRA: 	 [3(H) I'll be making3] well over seventy,
1057.91 1059.48	        	I'll be making a lot more than hi=[m].
1059.18 1059.98	KEN:    	                                  [O][2=h2].
1059.48 1059.93	MARCI:  	                                     [2Cough2],
1059.93 1060.43	        	choke,
1060.43 1061.18	        	sputter,
1061.18 1063.33	        	... Well over [seven][2ty=2]?
1062.50 1062.90	KEVIN:  	              [@]
1062.50 1062.95	KENDRA: 	              [Dad's] __
1062.95 1063.32	KEN:    	                     [2Good2].
1063.32 1063.78	        	[3Yeah3].
1063.49 1064.05	KENDRA: 	[3Dad's3] [4like,
1063.32 1064.73	KEVIN:  	[3That doesn't3] [4happen in America4].
1064.05 1065.88	KENDRA: 	you won't make4] half of what I make.
1065.88 1066.48	        	Ha ha.
1066.48 1066.88	        	(H)
1066.88 1067.38	KEN:    	.. Wha=t?
1067.38 1067.68	WENDY:  	(Hx)
1067.68 1068.18	KENDRA: 	.. Dad's like,
1068.18 1069.38	        	you won't make half of [what I make.
1068.93 1069.33	KEN:    	                       [Oh,
1068.98 1070.83	MARCI:  	                       [By virtue of] [2being fe2]male,
1069.33 1069.58	KEN:    	no,
1069.58 1070.63	        	your salary] [2will be2] __
1069.38 1069.88	KENDRA: 	Ha ha].
1070.83 1071.33	KEN:    	<X go [3over eight_ __
1070.93 1072.83	MARCI:  	      [3you don't make half3] of what he makes.
1071.33 1071.83	KEN:    	It'll be way high X>3].
1072.83 1073.27	KENDRA: 	No,
1073.27 1074.15	        	by virtue of making_ __
1074.15 1074.95	        	.. being fe[male,
1074.80 1076.75	WENDY:  	           [Just go in some]time with a machine gun,
1074.95 1075.45	KENDRA: 	I might].
1076.75 1077.05	WENDY:  	and,
1077.05 1078.25	        	... [hold em all] [2up2].
1077.55 1078.02	KEN:    	    [(Hx)][2=2]
1078.02 1079.37	KEVIN:  	                  [2Dis2][3gruntled3] postal work[4er4].
1078.24 1078.69	KEN:    	                         [3Yeah3].
1079.22 1079.77	KENDRA: 	[4Let m4]e [5tell you5].
1079.47 1079.77	WENDY:  	           [5@5]
1079.47 1080.57	KEN:    	           [5Tell em5] to be part of it.
1080.57 1081.27	        	(THROAT)
1081.27 1083.16	        	... [Be fair] [2or be2] [3square3] (Hx).
1081.77 1083.00	MARCI:  	    [<SING wa] [2wa wa2][3=3],
1082.25 1083.00	KENDRA: 	              [2I guess2] [3XX3] __
1082.48 1083.00	KEVIN:  	                        [3Hey=3].
1083.16 1084.97	        	[4<<WHISTLE +4][5+4][6++ WHISTLE>>
1083.16 1086.40	MARCI:  	[4hap4][5py4] [6birthday to you=6],
1083.58 1084.03	KEN:    	               [5Hey5][6=.
1083.88 1086.40	WENDY:  	                    [6<SING birthday to you6],
1084.03 1086.40	KEN:    	<SING birthday to you=6],
1084.97 1086.38	KEVIN:  	<SING to you=6],
1086.38 1086.75	        	<HI Hey= HI>.
1086.75 1089.62	        	[Happy birthday to <<BANG-GLASSES ++you= BANG-GLASSES>>].
1086.75 1089.62	WENDY:  	[Happy birthday to you=].
1086.75 1089.62	MARCI:  	[Happy birthday to you=].
1086.75 1089.63	KEN:    	[Happy birthday to you=].
1089.63 1090.25	KEVIN:  	<HI Hey= HI>.
1090.25 1090.80	MARCI:  	[@Happy_] __
1090.25 1093.98	KEVIN:  	[Happy] [2birthday dear !Ke=ndra2][3=3],
1090.25 1093.98	KEN:    	[Happy] [2birthday dear !Ke=ndra2][3=3],
1090.25 1094.21	WENDY:  	[Happy] [2birthday dear !Ke=ndra2][3=3][4=4],
1093.73 1095.43	KENDRA: 	[3<X They're3] [4those4] [5trick5] [6candle6][7=s,
1093.98 1094.55	KEVIN:  	               [4<HI Hey4][5= HI>5].
1094.55 1098.15	KEN:    	                                   [6ha6][7=ppy birth7][8day to you= SING>8].
1094.90 1098.15	KEVIN:  	                                             [7Happy birth7][8day to you= SING>8].
1094.90 1098.15	WENDY:  	                                             [7happy birth7][8day to you=8].
1095.43 1096.10	KENDRA: 	goofball= X>7].
1098.15 1100.05	KEVIN:  	[9(YELL)9][=]
1098.25 1101.45	WENDY:  	[9And ma9][ny mo][2=re SING> (THROAT)2].
1099.10 1100.80	MARCI:  	          [And many mo][2=re SING>.
1100.80 1103.90	        	Like the rest2] of the three_quarters of the century perhaps[3=3].
1104.35 1105.38	KENDRA: 	                         [4It's4] a beautiful cake,
1105.38 1107.55	        	but why do you guys [5always5] give me ice cream cakes.
1107.55 1109.65	KEVIN:  	... Because [6it's the only kind we're not6] [7allergic to7].
1108.05 1109.09	MARCI:  	            [6Don't you like ice cream6]?
1110.05 1111.35	WENDY:  	... Do you like .. frozen yogurt?
1111.35 1112.85	KENDRA: 	... I shouldn't blow this out.
1112.85 1113.10	        	.. Dad,
1113.10 1114.00	        	do you wanna try <X it X> for me?
1114.00 1115.05	        	... (SNORT)
1115.05 1115.90	KEVIN:  	<VOX<@ Oh[=,
1115.67 1117.77	MARCI:  	         [<VOX Oh=.
1115.90 1117.12	KEVIN:  	gro=ss,
1117.12 1118.12	        	that's nasty @>VOX>].
1117.77 1118.92	MARCI:  	Gro][2=2]ss VOX>.
1118.12 1118.42	KEVIN:  	    [2@2]
1118.12 1118.42	WENDY:  	    [2What2].
1118.92 1119.89	KEVIN:  	Cause she has a co=ld.
1119.89 1121.40	        	[She's gonna] b=low it all [2over the2] cake.
1119.89 1120.19	WENDY:  	[@]
1120.79 1120.99	        	                           [2@2]
1121.40 1122.84	KENDRA: 	[3@3][4@4][5@@5]
1121.40 1121.87	MARCI:  	[3@3]
1121.87 1122.84	KEN:    	     [4@4][5@@5]
1122.25 1122.84	KEVIN:  	          [5Gross5].
1122.84 1123.04	KENDRA: 	<@ Well,
1123.04 1123.49	        	plus that,
1123.49 1125.64	        	It's gonna take me like eight years to blow these [2ou=t @>2].
1125.14 1126.09	KEVIN:  	                                                  [2Just use a2] [3filter3].
1125.69 1126.69	WENDY:  	                                                                 [3(H) Let's3] everybody.
1126.69 1127.16	        	[4R=4]eady?
1126.69 1126.89	KEN:    	[4@4]
1127.16 1127.49	        	(H)
1127.49 1129.79	MARCI:  	Gon[5na take5] [6eight6] [7years to blow these out7].
1127.69 1128.36	KEN:    	   [5@5][6@6]
1128.05 1128.36	WENDY:  	               [6Ready6]?
1128.36 1129.30	        	                         [7(H) O=ne,
1129.30 1129.89	        	two7]=,
1129.89 1130.54	        	.. three.
1130.54 1132.14	MANY:   	(BLOW)
1132.14 1133.21	KEVIN:  	I think they're re=lightable.
1133.06 1133.64	WENDY:  	(BLOW)
1133.64 1134.19	        	.. They [a=re].
1133.76 1134.19	KENDRA: 	        [They are=].
1134.19 1134.90	KEVIN:  	[2They .. %are2].
1134.19 1134.90	WENDY:  	[2<X When they sputter X>2] __
1134.19 1135.33	MARCI:  	[2I didn't think2] they were,
1135.33 1136.88	        	but I [3think they maybe are=3].
1135.55 1136.10	KEVIN:  	      [3They are,
1136.10 1138.05	        	when they .. 3] do [4that way=4].
1137.15 1138.05	KEN:    	                   [4<X Yeah X> splutter and4].
1138.05 1138.55	KEVIN:  	(H) Yep.
1138.55 1141.55	        	(H) ... (BLOW) ... (H) (BLOW)
1141.55 1142.75	MARCI:  	.. Don't [spit,
1141.90 1143.40	KEN:    	         [<@ Don't spit on em @>].
1142.00 1143.70	KENDRA: 	         [<@ Don't spit on] [2em @>2].
1143.40 1143.70	KEVIN:  	                            [2(BLOW)2]
1142.75 1144.40	MARCI:  	@@][2@@]@@@
1144.40 1145.65	KEVIN:  	(H) [3(BLOW) .. (H)3]
1144.77 1145.65	KEN:    	    [3(H)= %3]
1145.65 1147.80	        	@[4@4][5@@@5]
1145.75 1146.24	KENDRA: 	 [4Dang4],
1146.26 1147.86	KEVIN:  	      [5(BLOW)=5]
1146.24 1147.86	KENDRA: 	      [5you guys are getting ashes all over me5].
1147.86 1149.54	        	[6(COUGH) (COUGH) (COUGH)6] [7(COUGH)7]
1147.86 1149.12	KEN:    	[6@@@6]
1149.12 1149.97	MARCI:  	                            [7@7]@@
1149.97 1150.84	KENDRA: 	[8(COUGH)8] [9(COUGH)9]
1149.97 1150.60	KEN:    	[8@@8]
1150.60 1152.35	KEVIN:  	            [9It's almost9] like [having a smoking probl][2em2].
1151.07 1153.22	MARCI:  	                                 [Smoke alarm's gonna] [2go2] [3off3] in a minute.
1152.20 1152.69	KENDRA: 	                                                       [2(COUGH)2][3=3]
1153.22 1154.34	        	    [4(COUGH) (COUGH) (COUGH)4]
1153.22 1154.88	KEN:    	    [4<X It's just like having X> your own4] [5cigarettes.
